"locID","network","name","city","county","state","lat_y","long_x","elev_ft","agency","startDate","endDate"
"310750","COOP","B Everett Jordan Dam","Pittsboro","Chatham County","NC","35.65417","-79.07056","310","NOAA National Weather Service","2000-01-03","2021-02-01"
"311429","COOP","Cane Creek Rsvr","Saxapahaw","Orange County","NC","35.95333","-79.23056","525","NOAA National Weather Service","2010-07-01","2021-02-01"
"311515","COOP","Carthage Wtp","Carthage","Moore County","NC","35.33194","-79.40667","440","NOAA National Weather Service","1948-08-01","2020-12-31"
"311677","COOP","Chapel Hill 2 W","Chapel Hill","Orange County","NC","35.90861","-79.07944","500","NOAA National Weather Service","1891-01-01","2021-01-28"
"311700","COOP","Chatham Wtp","MV","Chatham County","NC","35.73667","-79.00444","308","MV","2007-07-01","2020-12-31"
"311881","COOP","Clinton 2 Ne","Clinton","Sampson County","NC","35.02472","-78.27583","158","NOAA National Weather Service","1971-01-01","2021-01-24"
"312500","COOP","Dunn 4 Nw","Dunn","Harnett County","NC","35.32472","-78.68806","200","NOAA National Weather Service","1962-09-01","2021-01-31"
"312517","COOP","Durham 11 W","Durham","Orange County","NC","35.97056","-79.09306","562","MV","2010-01-01","2021-02-01"
"313017","COOP","Fayetteville Pwc","Fayetteville","Cumberland County","NC","35.05833","-78.85833","96","NOAA National Weather Service","1871-11-01","2021-01-29"
"313555","COOP","Graham 2 Ene","Graham","Alamance County","NC","36.05028","-79.37278","660","NOAA National Weather Service","1902-07-01","2021-02-01"
"313630","COOP","Greensboro  Ap","Greensboro","Guilford County","NC","36.08333","-79.95","890","NOAA National Weather Service","1903-01-01","2021-02-01"
"313625","COOP","Greensboro Wtp","Greensboro","Guilford County","NC","36.08111","-79.80472","765","NOAA National Weather Service","1948-11-01","2020-12-31"
"313919","COOP","Haw River 1e","Graham","Alamance County","NC","36.06389","-79.38306","636","NOAA National Weather Service","2001-09-12","2021-01-27"
"314063","COOP","High Point","High Point","Guilford County","NC","35.96722","-79.97222","900","NOAA National Weather Service","1921-07-01","2021-01-24"
"314471","COOP","Jacksonville Eoc","Jacksonville","Onslow County","NC","34.79667","-77.40083","17","NOAA National Weather Service","2001-06-27","2021-01-28"
"314987","COOP","Lillington","Lillington","Harnett County","NC","35.40833","-78.82083","150","NOAA National Weather Service","1915-01-01","2021-01-06"
"315820","COOP","Moores Creek Nb","Atkinson","Pender County","NC","34.45806","-78.10944","22","MV","2000-01-02","2020-12-31"
"315930","COOP","MOUNT OLIVE 6SE","MV","Duplin County","NC","35.1376","-77.9891","162","MV","2011-01-01","2021-01-30"
"316122","COOP","New Hill","Apex","Wake County","NC","35.68083","-78.91583","320","NOAA National Weather Service","2003-03-18","2020-12-31"
"317097","COOP","Randleman","Randleman","Randolph County","NC","35.82222","-79.79167","810","NOAA National Weather Service","1905-02-01","2020-12-31"
"316422","COOP","Richlands","Richlands","Onslow County","NC","34.925","-77.51139","20","NOAA National Weather Service","2004-02-01","2021-01-31"
"317656","COOP","Sanford 8 Ne","Sanford","Lee County","NC","35.53472","-79.04639","262","NOAA National Weather Service","1972-11-01","2020-12-31"
"317924","COOP","Siler City 2 N","Siler City","Chatham County","NC","35.76056","-79.46222","610","NOAA National Weather Service","1916-07-01","2021-01-24"
"319026","COOP","Wallace","Wallace","Duplin County","NC","34.72","-77.97778","29","NOAA National Weather Service","2000-06-01","2021-01-27"
"319467","COOP","Wilmington 7 N","Wilmington","New Hanover County","NC","34.32083","-77.92056","40","NOAA National Weather Service","1949-07-01","2021-01-29"
"319461","COOP","Wilmington 7 Se","Wilmington","New Hanover County","NC","34.1425","-77.87861","30","MV","2008-04-01","2021-01-30"
"319457","COOP","Wilmington Intl Ap","Wilmington","New Hanover County","NC","34.2675","-77.89972","33","NOAA National Weather Service","1933-01-01","2021-02-01"
"BALD","ECONET","Bald Head Island Conservancy","Bald Head Island","Brunswick County","NC","33.845833","-77.965833","30","Bald Head Island Conservancy","2015-06-23","2021-02-02"
"CHAP","ECONET","Horace Williams Airport","Chapel Hill","Orange County","NC","35.934","-79.064","511","UNC Chapel Hill","2018-07-06","2021-02-02"
"CAST","ECONET","Horticultural Crops Res Stn","Castle Hayne","New Hanover County","NC","34.32107","-77.91611","43","NC Agricultural Research Service","1983-03-17","2021-02-02"
