"site","AgencyCd","SiteName","DecLatVa","DecLongVa","AltVa","AltUnitsNm","WellDepth","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","link"
"335629078115406","USGS","BR-079 SUNSET HARBOR RS (PEEDEE)",33.9411111111111,-78.1986111111111,37,"Feet",102,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",19,"Brunswick County","211PEED","Peedee Formation","WELL","CONFINED","https://waterdata.usgs.gov/monitoring-location/335629078115406#parameterCode=72019&period=P7D"
"335629078115407","USGS","BR-080 (NC-182) SUNSET HARBOR RS (SURFICIAL)",33.9413888888889,-78.1986111111111,34,"Feet",15,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",19,"Brunswick County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/335629078115407#parameterCode=72019&period=P7D"
"335631078003604","USGS","BR-081 (NC-197) SOUTHPORT RS (PEEDEE)",33.9419444444444,-78.0097222222222,28.08,"Feet",200,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",19,"Brunswick County","211PEED","Peedee Formation","WELL","CONFINED","https://waterdata.usgs.gov/monitoring-location/335631078003604#parameterCode=72019&period=P7D"
"335631078003605","USGS","BR-082 (NC-198) SOUTHPORT RS (CASTLE HAYNE)",33.9419444444444,-78.0097222222222,28.26,"Feet",74,"Feet","N400CSLHYN","Castle Hayne aquifer",37,"North Carolina",19,"Brunswick County","124CSLH","Castle Hayne Limestone","WELL","CONFINED","https://waterdata.usgs.gov/monitoring-location/335631078003605#parameterCode=72019&period=P7D"
"335631078003606","USGS","BR-083 (NC-199) SOUTHPORT RS (SURFICIAL)",33.9419444444444,-78.0097222222222,28,"Feet",21,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",19,"Brunswick County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/335631078003606#parameterCode=72019&period=P7D"
"335849078054301","USGS","BR-100 WELL 15A (CASTLE HAYNE/PEEDEE)",33.9802777777778,-78.0952777777778,54.54,"Feet",158.3,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",19,"Brunswick County","211PEED","Peedee Formation","WELL","CONFINED","https://waterdata.usgs.gov/monitoring-location/335849078054301#parameterCode=72019&period=P7D"
"344520079281001","USGS","SC-040 AT LAURINBURG, NC (BLACK CREEK)",34.755,-79.4672222222222,211,"Feet",240,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",165,"Scotland County","211BAKC","Black Creek Aquifer","WELL","CONFINED","https://waterdata.usgs.gov/monitoring-location/344520079281001#parameterCode=72019&period=P7D"
"344544079263701","USGS","SC-142 AT LAURINBURG, NC (BLACK CREEK)",34.7622222222222,-79.4436111111111,211,"Feet",161,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",165,"Scotland County","211BAKC","Black Creek Aquifer","WELL","CONFINED","https://waterdata.usgs.gov/monitoring-location/344544079263701#parameterCode=72019&period=P7D"
"345051078012109","USGS","DU-157 ROSE HILL RS V32v9 (NC-222R) (SURFICIAL)",34.8477777777778,-78.0209722222222,85,"Feet",15.4,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",61,"Duplin County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/345051078012109#parameterCode=72019&period=P7D"
"345809077301408","USGS","JO-035 (NC-173), NCDENR COMFORT RS (SURFICIAL)",34.97,-77.5033333333333,65.46,"Feet",15,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",103,"Jones County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/345809077301408#parameterCode=72019&period=P7D"
